"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.707,-4.761,0.22,0,138.064,248156,8,74
0.719,-5.541,0.048,0,101.091,202072,5,56
0.795,-3.721,0.145,0,118.118,186805,5,77
0.596,-7.891,0.166,0,123.969,208567,6,71
0.633,-6.547,0.0453,0,123.449,184533,6,64
0.726,-4.389,0.157,0,114.996,198996,6,82
0.67,-6.439,0.0104,3.33e-06,118.159,238173,6,81
0.427,-11.684,0.295,0.00108,107.992,215446,7,41
0.865,-4.159,0.0264,0.0892,122.99,189165,6,62
0.737,-5.154,0.0145,0,124.169,200318,6,5
0.763,-6.872,0.524,2.64e-06,128.02,160312,5,72
0.705,-6.479,0.292,0.000386,114.994,219521,5,24
0.938,-5.245,0.0257,1.39e-05,94.38,207428,7,58
0.808,-4.578,0.0446,0,127.922,179531,5,65
0.808,-1.818,0.00627,5.33e-06,119.971,166000,6,64
0.605,-5.737,0.559,0.000363,107.042,203200,5,53
0.612,-4.855,0.0655,4.07e-06,128.114,239067,5,72
0.917,-3.613,0.301,1.8e-05,121.967,147554,6,39
0.79,-4.617,0.0547,0.000802,125.002,188640,6,75
0.818,-4.474,0.0527,0.00642,109.993,157159,6,60
0.856,-4.285,0.00123,6.34e-06,117.014,228502,5,18
0.622,-5.025,0.253,0,102.04,210091,8,79
0.869,-4.275,0.0142,0.00241,126.113,187150,5,60
0.801,-4.167,0.157,4.82e-06,95.881,212500,6,83
0.524,-5.599,0.414,0,95.01,244960,8,85
0.624,-8.446,0.025,0.056,115.002,243091,10,47
0.781,-3.48,0.0398,0,128,271427,13,74
0.636,-4.546,0.0441,6.66e-05,105.005,222653,7,80
0.54,-7.786,0.0895,0,137.972,220883,8,81
0.733,-5.337,0.00402,0,104.977,189467,7,76
0.716,-7.037,0.0334,0.00084,104.994,221714,5,96
0.768,-5.991,0.0119,4.91e-06,123.07,213309,6,84
0.828,-4.711,0.0149,0.000583,124.052,208474,5,86
0.763,-4.137,0.0857,2.49e-06,150.088,239853,8,68
0.651,-5.828,0.225,0,144.875,194907,8,66
0.635,-6.769,0.0498,1.44e-05,103.019,247160,8,83
0.862,-3.24,0.037,2.19e-05,123.994,214847,7,85
0.748,-4.124,0.0305,0,125.896,210013,10,73
0.533,-6.596,0.119,0,99.968,220781,8,69
0.677,-6.628,0.248,0,124.91,251627,13,69
0.716,-5.371,0.0863,2.63e-05,99.988,205947,8,81
0.802,-7.055,0.0435,0.00377,100.001,226739,10,73
0.738,-3.109,0.109,0,127.961,217347,NA,61
0.727,-5.456,0.0159,9.45e-05,121.985,255632,12,19
0.726,-4.346,0.0723,8.45e-06,93.958,195000,6,57
0.76,-3.669,0.0797,0,99.945,200787,9,81
0.928,-2.787,0.199,0.124,123.963,222160,9,79
0.783,-5.697,0.0038,0.0012,124.08,247427,12,84
0.77,-5.335,0.176,1.1e-05,125.905,184560,7,84
0.787,-3.674,0.0679,0.15,126.062,245040,13,66
0.74,-5.053,0.0342,6.59e-06,139.42,242520,9,8
0.832,-5.039,0.141,0,124.071,227893,15,64
0.716,-6.36,0.0223,0,105.009,209733,7,61
0.832,-3.419,0.11,0,129.038,213169,13,27
0.832,-5.72,0.0106,0,113.035,237547,8,74
0.781,-4.081,0.433,0,102.997,286322,13,57
0.806,-4.618,0.12,1.33e-06,119.001,237200,17,69
0.868,-4.373,0.0389,0.00171,122.003,212640,9,77
0.672,-5.89,0.177,0,120.019,208222,5,74
0.89,-3.785,0.122,0,124.967,206440,5,5
0.727,-7.647,0.0201,0.676,120.012,231480,5,57
0.787,-4.999,0.00515,0,123.978,164490,5,68
0.584,-7.649,0.0955,0.341,124.996,168547,5,65
0.929,-4.447,0.0395,0.0249,126.055,155238,6,58
0.906,-2.097,0.125,0,96.071,184558,5,81
0.855,-3.282,0.0566,1e-06,124.004,198743,5,68
0.662,-7.104,0.0922,0.000166,124.039,159194,5,43
0.736,-7.66,0.135,0.0538,126.007,165714,5,57
0.844,-3.364,0.00407,6.13e-06,115.066,183653,5,58
